OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
1,0,88649872,280021.2813,6308.441406,400763.625,3979321.25,7317.157227,3856.433594,3.474155188
2,2865,10555.53125,604.0859375,19.41312408,397087.9375,3983662.75,73.13119507,45.94386673,158.0585175
3,2866,753.9664917,109.8338013,13.72922516,396989.875,3983668.75,15.4917717,15.4917717,90
4,2867,41651372,202423.7031,834.7641602,401722.9375,3981076.25,5766.294922,2299.230957,163.674942
5,2868,1507.932983,164.7507019,13.72922516,397525.3125,3983531.25,30.9835434,15.4917717,0
6,2869,3769.83252,329.5014038,13.72922516,397626.9063,3983482,64.95053101,18.475214,169.0992889
7,2870,31666.59375,1208.171875,68.64612579,397472.375,3983190.75,126.9714508,79.38626862,47.22904205
8,2871,753.9664917,109.8338013,13.72922516,397566.5,3983311.75,15.4917717,15.4917717,90
9,2872,753.9664917,109.8338013,13.72922516,397621.4063,3983229.25,15.4917717,15.4917717,90
10,2873,1507.932983,164.7507019,13.72922516,397690.0625,3983229.25,30.9835434,15.4917717,0
11,2874,753.9664917,109.8338013,13.72922516,397676.3438,3983174.5,15.4917717,15.4917717,90
12,2875,753.9664917,109.8338013,13.72922516,397264.4688,3983119.5,15.4917717,15.4917717,90
13,2876,7539.665039,494.2521057,19.41312408,397561,3982891.5,75.43992615,31.81272888,92.07981873
14,2877,6031.731934,439.3352051,13.72922516,396883.4688,3982858.75,56.43977737,34.01785278,175.8620605
15,2878,753.9664917,109.8338013,13.72922516,397044.7813,3982762.5,15.4917717,15.4917717,90
16,2879,1507.932983,164.7507019,13.72922516,400024.0313,3982625.25,30.9835434,15.4917717,0
17,2880,7539.665039,439.3352051,19.41312408,397440.1875,3982600.5,53.74246597,44.65649033,32.44258118
18,2881,3769.83252,329.5014038,13.72922516,399889.5,3982581.25,63.88371277,18.78373909,20.99360657
19,2883,753.9664917,109.8338013,13.72922516,397374.2813,3982515.5,15.4917717,15.4917717,90
20,2884,7539.665039,494.2521057,13.72922516,397404.5,3982460.5,90.94094849,26.39019966,21.80140877
21,2885,753.9664917,109.8338013,13.72922516,397237,3982460.5,15.4917717,15.4917717,90
22,2886,753.9664917,109.8338013,13.72922516,400037.75,3982076,15.4917717,15.4917717,90
23,2890,3015.865967,219.6676025,13.72922516,399831.8125,3981787.75,30.9835434,30.9835434,90
24,2891,1035949.938,11422.71582,245.7256622,398599.4063,3981029.5,687.1231689,479.9039307,128.4822388
25,2894,2261.899414,219.6676025,13.72922516,403232.0938,3981618.5,35.31360245,20.38831902,135
26,2899,753.9664917,109.8338013,13.72922516,399873,3981499.5,15.4917717,15.4917717,90
27,2904,3015.865967,219.6676025,13.72922516,399969.125,3981458.25,30.9835434,30.9835434,90
28,2906,753.9664917,109.8338013,13.72922516,397044.7813,3981444.5,15.4917717,15.4917717,90
29,2907,2261.899414,219.6676025,13.72922516,399882.1563,3981398.75,35.31360245,20.38831902,135
30,2908,36190.39063,1537.673218,41.18767548,404474.0313,3981251.75,129.6781769,88.83345032,160.4591064
31,2915,753.9664917,109.8338013,13.72922516,398280.4375,3981197.5,15.4917717,15.4917717,90
32,2925,3015.865967,219.6676025,13.72922516,398239.25,3981101.25,30.9835434,30.9835434,90
33,2926,1507.932983,164.7507019,13.72922516,398335.3438,3981101.25,30.9835434,15.4917717,90
34,2934,753.9664917,109.8338013,13.72922516,404046.6875,3980950.25,15.4917717,15.4917717,90
35,2951,6031.731934,384.4183044,13.72922516,400919.875,3980521.25,60.99351883,31.47809792,123.0187531
36,2969,753.9664917,109.8338013,13.72922516,399049.25,3980263.75,15.4917717,15.4917717,90
37,2984,3015.865967,274.5845032,13.72922516,408392,3979831.25,48.49186707,19.7967205,71.56504822
38,2990,753.9664917,109.8338013,13.72922516,404513.5,3979879.5,15.4917717,15.4917717,90
39,2999,753.9664917,109.8338013,13.72922516,404678.25,3979742,15.4917717,15.4917717,90
40,3003,2261.899414,219.6676025,13.72922516,404678.25,3979659.75,53.66506958,13.4162674,0
41,3007,753.9664917,109.8338013,13.72922516,408330.2188,3979495,15.4917717,15.4917717,90
42,3009,9801.564453,549.1690063,19.41312408,408302.75,3979414.75,62.76032257,49.7118988,74.99081421
43,3014,15079.33008,823.75354,19.41312408,408166.8438,3979249.25,94.10276031,51.00700378,105.1727066
44,3015,753.9664917,109.8338013,13.72922516,408247.8438,3979330.25,15.4917717,15.4917717,90
45,3020,3015.865967,219.6676025,13.72922516,408069.375,3979289,30.9835434,30.9835434,90
46,3022,1507.932983,164.7507019,13.72922516,408028.1875,3979261.5,30.9835434,15.4917717,90
47,3024,753.9664917,109.8338013,13.72922516,408000.7188,3979220.5,15.4917717,15.4917717,90
48,3031,1507.932983,164.7507019,13.72922516,408220.375,3979124.25,30.9835434,15.4917717,90
49,3032,753.9664917,109.8338013,13.72922516,407945.8125,3979138,15.4917717,15.4917717,90
50,3033,753.9664917,109.8338013,13.72922516,408055.625,3979110.5,15.4917717,15.4917717,90
51,3038,753.9664917,109.8338013,13.72922516,408110.5625,3979055.75,15.4917717,15.4917717,90
52,3041,3015.865967,219.6676025,13.72922516,407712.4063,3978987,30.9835434,30.9835434,90
53,3042,753.9664917,109.8338013,13.72922516,408192.9375,3979000.75,15.4917717,15.4917717,90
