OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
887,936,7539.665039,494.2521057,13.72922516,374462.9688,4045315.75,59.03255844,40.65468216,175.4548645
888,938,4523.798828,384.4183044,13.72922516,375558.5625,4045285.5,56.02090454,25.70415306,116.5650482
889,939,4523.798828,329.5014038,13.72922516,375672.9688,4045280.75,61.61491776,23.37047577,102.9331818
890,940,753.9664917,109.8338013,13.72922516,376011.625,4045313,15.4917717,15.4917717,90
891,941,35436.42578,1977.008423,19.41312408,376185.125,4045106.75,141.1946716,79.88803864,90.98269653
892,942,753.9664917,109.8338013,13.72922516,376258.75,4045313,15.4917717,15.4917717,90
893,944,1507.932983,164.7507019,13.72922516,411982.1875,4044859.75,30.9835434,15.4917717,90
894,945,3769.83252,329.5014038,13.72922516,415474.9063,4044807.75,56.0497551,21.40910149,84.84757996
895,946,1507.932983,164.7507019,13.72922516,373210.8438,4045326.5,30.9835434,15.4917717,90
896,947,753.9664917,109.8338013,13.72922516,374611.25,4045313,15.4917717,15.4917717,90
897,948,3769.83252,329.5014038,13.72922516,375330.6563,4045263.5,64.95053101,18.475214,169.0992889
898,949,1507.932983,164.7507019,13.72922516,375874.3125,4045271.75,30.9835434,15.4917717,90
899,950,753.9664917,109.8338013,13.72922516,376039.0625,4045285.5,15.4917717,15.4917717,90
900,951,2261.899414,219.6676025,13.72922516,376286.2188,4045258,53.66506958,13.4162674,90
901,952,3015.865967,274.5845032,13.72922516,376382.3125,4045285.5,77.919487,12.32015228,0
902,953,3015.865967,274.5845032,13.72922516,411666.4063,4044846,77.919487,12.32015228,0
903,954,753.9664917,109.8338013,13.72922516,411735.0625,4044846,15.4917717,15.4917717,90
904,955,753.9664917,109.8338013,13.72922516,374583.7813,4045285.5,15.4917717,15.4917717,90
905,956,1507.932983,164.7507019,13.72922516,374940.75,4045271.75,30.9835434,15.4917717,90
906,957,1507.932983,164.7507019,13.72922516,374995.6563,4045216.75,30.9835434,15.4917717,90
907,958,2261.899414,219.6676025,13.72922516,375489.9063,4045258,53.66506958,13.4162674,0
908,959,753.9664917,109.8338013,13.72922516,375627.1875,4045258,15.4917717,15.4917717,90
909,960,7539.665039,494.2521057,19.41312408,375981.4063,4045216.75,76.4522934,31.39147186,25.67009544
910,961,753.9664917,109.8338013,13.72922516,412009.6563,4044818.75,15.4917717,15.4917717,90
911,962,1507.932983,164.7507019,13.72922516,416100.9688,4044750,30.9835434,15.4917717,90
912,963,7539.665039,549.1690063,13.72922516,420705.75,4044662,99.3164444,24.16467857,70.01072693
913,965,1507.932983,164.7507019,13.72922516,374899.5625,4045230.5,30.9835434,15.4917717,0
914,966,3015.865967,219.6676025,13.72922516,376601.9688,4045216.75,30.9835434,30.9835434,90
915,967,4523.798828,274.5845032,13.72922516,411652.6875,4044777.5,48.49186707,29.69508171,0
916,969,1507.932983,164.7507019,13.72922516,374377.8438,4045230.5,30.9835434,15.4917717,0
917,970,753.9664917,109.8338013,13.72922516,374446.5,4045230.5,15.4917717,15.4917717,90
918,971,3769.83252,329.5014038,13.72922516,374710.0938,4045186.5,47.62078857,25.19855309,45
919,972,9047.597656,604.0859375,19.41312408,375130.6563,4045173.25,58.95095825,48.85314941,21.89056206
920,973,3015.865967,274.5845032,13.72922516,375510.5,4045175.5,39.59344101,24.24593353,90
921,974,3769.83252,329.5014038,13.72922516,375616.2188,4045175.5,46.80645752,25.63695335,90
922,975,1507.932983,164.7507019,13.72922516,375764.5,4045189.25,30.9835434,15.4917717,90
923,976,1507.932983,164.7507019,13.72922516,375874.3125,4045189.25,30.9835434,15.4917717,90
924,977,753.9664917,109.8338013,13.72922516,412092.0313,4044763.75,15.4917717,15.4917717,90
925,978,1507.932983,164.7507019,13.72922516,412366.5938,4044750,30.9835434,15.4917717,90
926,979,1507.932983,164.7507019,13.72922516,412476.4375,4044722.5,30.9835434,15.4917717,90
927,980,753.9664917,109.8338013,13.72922516,414206.3125,4044736.25,15.4917717,15.4917717,90
928,981,753.9664917,109.8338013,13.72922516,414316.1563,4044736.25,15.4917717,15.4917717,90
929,982,1507.932983,164.7507019,13.72922516,415936.2188,4044695,30.9835434,15.4917717,90
930,983,753.9664917,109.8338013,13.72922516,416293.1563,4044708.75,15.4917717,15.4917717,90
931,984,3769.83252,329.5014038,13.72922516,374402.5625,4045164.5,63.88371277,18.78373909,69.00639343
