OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
1,1,10555.62598,549.1715088,19.41321182,369112.125,4070196,96.97933197,34.64614487,177.1208649
2,2,4523.839844,274.5857544,13.72928715,369257.2813,4070176.5,48.4920845,29.69521523,0
3,3,373134592,1545972.625,4222.994141,368788.3438,4049490.75,15402.53711,7711.225098,86.80296326
4,4,19603.30664,1153.260132,19.41321182,368806.3125,4070095.25,206.7234802,30.18489265,21.72370911
5,5,1507.946655,164.7514496,13.72928715,368557.0938,4069998,30.98368263,15.49184132,0
6,6,1507.946655,164.7514496,13.72928715,368474.6875,4069970.5,30.98368263,15.49184132,0
7,7,2261.919922,219.6685944,13.72928715,368406.0625,4069943,53.66531372,13.41632843,0
8,8,2261.919922,219.6685944,13.72928715,368323.6875,4069915.75,53.66531372,13.41632843,0
9,9,1507.946655,164.7514496,13.72928715,368227.5625,4069888.25,30.98368263,15.49184132,0
10,10,1507.946655,164.7514496,13.72928715,368172.6563,4069860.75,30.98368263,15.49184132,0
11,11,1507.946655,164.7514496,13.72928715,368090.2813,4069833.25,30.98368263,15.49184132,0
12,12,753.9733276,109.8342972,13.72928715,367994.1875,4069805.75,15.49184132,15.49184132,90
13,14,753.9733276,109.8342972,13.72928715,369669.1563,4069696,15.49184132,15.49184132,90
14,15,1507.946655,164.7514496,13.72928715,369243.5313,4069641,30.98368263,15.49184132,0
15,16,753.9733276,109.8342972,13.72928715,369202.3438,4069613.5,15.49184132,15.49184132,90
16,17,1507.946655,164.7514496,13.72928715,368502.1563,4069531.25,30.98368263,15.49184132,0
17,18,28650.98633,1043.425781,58.23963928,368395.2188,4069357,107.9162903,84.50894928,52.90168381
18,19,3769.866455,274.5857544,13.72928715,368730.0625,4069405,45.58987045,26.32132339,161.5650482
19,21,753.9733276,109.8342972,13.72928715,368515.9063,4069229.25,15.49184132,15.49184132,90
20,22,3769.866455,274.5857544,13.72928715,368235.8125,4069130.25,45.58987045,26.32132339,161.5650482
21,23,198294.9844,5436.797852,113.1567917,368387.375,4068681.75,323.0406494,195.3910522,31.75279427
22,24,3769.866455,274.5857544,13.72928715,368153.4375,4068449.25,45.58987045,26.32132339,18.43494797
23,25,9801.65332,659.0057983,13.72928715,368594.0313,4068280.75,90.80392456,34.35934067,177.2063751
24,26,2261.919922,219.6685944,13.72928715,368589.125,4068167.5,35.31376266,20.38841057,45
25,27,1507.946655,164.7514496,13.72928715,368570.8125,4068062.25,30.98368263,15.49184132,90
26,28,49008.26563,1757.348755,46.87178802,373945.0938,4061009.25,158.8727264,98.19064331,122.6142578
27,29,6785.759766,439.3371887,13.72928715,374083.875,4061040.5,70.22074127,30.75977707,168.9168243
28,30,753.9733276,109.8342972,13.72928715,373705.5625,4061019,15.49184132,15.49184132,90
29,31,753.9733276,109.8342972,13.72928715,373760.4688,4060936.75,15.49184132,15.49184132,90
30,32,1507.946655,164.7514496,13.72928715,373801.6563,4060909.25,30.98368263,15.49184132,0
31,33,1507.946655,164.7514496,13.72928715,373897.7813,4060895.5,30.98368263,15.49184132,90
32,34,1507.946655,164.7514496,13.72928715,372758.25,4060854.25,30.98368263,15.49184132,0
33,35,753.9733276,109.8342972,13.72928715,372881.8125,4060826.75,15.49184132,15.49184132,90
34,36,1507.946655,164.7514496,13.72928715,373911.5,4060799.5,30.98368263,15.49184132,0
35,37,1507.946655,164.7514496,13.72928715,372840.625,4060799.5,30.98368263,15.49184132,0
36,38,753.9733276,109.8342972,13.72928715,372991.625,4060772,15.49184132,15.49184132,90
37,39,753.9733276,109.8342972,13.72928715,373842.8438,4060744.5,15.49184132,15.49184132,90
38,41,4523.839844,384.4200439,13.72928715,373247.9063,4060630,65.65835571,21.93144989,122.2430649
39,42,31666.87891,1482.763062,41.1878624,373272.75,4060486.25,127.0451584,79.34092712,99.31655121
40,43,1507.946655,164.7514496,13.72928715,375751.2188,4060634.75,30.98368263,15.49184132,0
41,44,4523.839844,274.5857544,13.72928715,375682.5938,4060593.5,48.4920845,29.69521523,0
42,46,5277.812988,329.5028992,13.72928715,373419.2188,4060505.25,60.52795029,27.75544357,81.65037537
43,47,5277.812988,329.5028992,13.72928715,373662.4063,4060489.5,60.52795029,27.75544357,81.65037537
44,48,1507.946655,164.7514496,13.72928715,373115.1875,4060470,30.98368263,15.49184132,0
45,49,3769.866455,329.5028992,13.72928715,373463.9375,4060404,56.05001068,21.40919876,84.84757996
46,50,3015.893311,219.6685944,13.72928715,373582,4060428.75,30.98368263,30.98368263,90
47,51,6031.786621,384.4200439,19.41321182,373036.25,4060325.75,57.38275146,33.45913315,160.6700897
48,52,753.9733276,109.8342972,13.72928715,373128.9375,4060360,15.49184132,15.49184132,90
49,53,12063.57324,549.1715088,41.1878624,373163.25,4060274.25,71.88143921,53.42066574,60.76739502
50,54,753.9733276,109.8342972,13.72928715,373348.5938,4060305.25,15.49184132,15.49184132,90
51,55,1507.946655,164.7514496,13.72928715,375229.5,4060277.75,30.98368263,15.49184132,0
52,56,753.9733276,109.8342972,13.72928715,373074,4060250.25,15.49184132,15.49184132,90
53,57,22619.19922,713.9229126,58.23963928,373404.4375,4060159.5,101.8337479,70.70263672,77.69355011
54,58,753.9733276,109.8342972,13.72928715,373540.8125,4060195.25,15.49184132,15.49184132,90
55,59,3769.866455,329.5028992,13.72928715,373557.2813,4060124,63.88399887,18.78382301,69.00639343
56,60,3769.866455,329.5028992,13.72928715,377308.125,4059322.25,58.85626984,20.38841057,135
57,61,753.9733276,109.8342972,13.72928715,377879.25,4058575.25,15.49184132,15.49184132,90
58,62,753.9733276,109.8342972,13.72928715,372387.5625,4057751.5,15.49184132,15.49184132,90
59,63,1507.946655,164.7514496,13.72928715,370643.9375,4056433.5,30.98368263,15.49184132,0
60,64,753.9733276,109.8342972,13.72928715,371042.0938,4056351,15.49184132,15.49184132,90
61,65,2261.919922,219.6685944,13.72928715,371380.75,4056342,35.31376266,20.38841057,45
62,66,5277.812988,329.5028992,13.72928715,370649.8125,4056319.75,49.34604645,34.0448761,120.4726944
63,67,4523.839844,274.5857544,13.72928715,371426.5,4056282.5,48.4920845,29.69521523,0
64,68,1507.946655,164.7514496,13.72928715,370602.75,4056255,30.98368263,15.49184132,90
65,69,753.9733276,109.8342972,13.72928715,370438,4056241.25,15.49184132,15.49184132,90
66,70,753.9733276,109.8342972,13.72928715,371563.7813,4056241.25,15.49184132,15.49184132,90
67,71,4523.839844,274.5857544,13.72928715,370547.8125,4056200,48.4920845,29.69521523,0
68,73,2261.919922,219.6685944,13.72928715,370556.9688,4056122.25,35.31376266,20.38841057,45
69,74,753.9733276,109.8342972,13.72928715,371701.0938,4056021.5,15.49184132,15.49184132,90
70,76,753.9733276,109.8342972,13.72928715,371371.5938,4055884.25,15.49184132,15.49184132,90
71,77,753.9733276,109.8342972,13.72928715,371893.2813,4054044.5,15.49184132,15.49184132,90
72,78,753.9733276,109.8342972,13.72928715,375847.3438,4053083.5,15.49184132,15.49184132,90
73,79,753.9733276,109.8342972,13.72928715,360772.5625,4053275.75,15.49184132,15.49184132,90
74,80,753.9733276,109.8342972,13.72928715,360745.125,4053193.5,15.49184132,15.49184132,90
75,81,753.9733276,109.8342972,13.72928715,360772.5625,4053166,15.49184132,15.49184132,90
76,82,753.9733276,109.8342972,13.72928715,360827.5,4053028.5,15.49184132,15.49184132,90
77,83,1507.946655,164.7514496,13.72928715,360854.9375,4052987.5,30.98368263,15.49184132,90
78,84,1507.946655,164.7514496,13.72928715,366030.875,4052232.25,30.98368263,15.49184132,0
79,85,3015.893311,219.6685944,13.72928715,366140.7188,4052191.25,30.98368263,30.98368263,90
80,86,2261.919922,219.6685944,13.72928715,366291.75,4052177.5,53.66531372,13.41632843,0
81,87,15079.46582,768.8400879,41.1878624,366162.6875,4052060.75,78.60821533,61.06159973,99.85011292
82,89,753.9733276,109.8342972,13.72928715,366319.2188,4052012.75,15.49184132,15.49184132,90
83,90,753.9733276,109.8342972,13.72928715,366072.0625,4051985.25,15.49184132,15.49184132,90
84,91,3015.893311,274.5857544,13.72928715,366127,4051889,50.13265228,19.14896965,31.71747398
85,92,91230.77344,3020.443115,46.87178802,366195.3125,4051668,225.6385651,128.6998749,160.6828918
86,93,753.9733276,109.8342972,13.72928715,366511.4063,4051710.5,15.49184132,15.49184132,90
87,94,1507.946655,164.7514496,13.72928715,365852.4063,4051669.5,30.98368263,15.49184132,90
88,95,753.9733276,109.8342972,13.72928715,366319.2188,4051436,15.49184132,15.49184132,90
89,96,3769.866455,274.5857544,13.72928715,366077.5625,4051392,45.58987045,26.32132339,18.43494797
90,97,13571.51953,659.0057983,41.1878624,366090.375,4051192,101.2290039,42.67501068,39.57494736
91,98,3015.893311,274.5857544,13.72928715,366312.3438,4051264.5,48.4920845,19.79681015,18.43494797
92,99,753.9733276,109.8342972,13.72928715,366017.1563,4051243.75,15.49184132,15.49184132,90
93,100,753.9733276,109.8342972,13.72928715,366236.8438,4051243.75,15.49184132,15.49184132,90
94,101,753.9733276,109.8342972,13.72928715,366538.875,4051216.25,15.49184132,15.49184132,90
95,102,6031.786621,494.2543335,13.72928715,366401.5938,4051058.5,64.07093048,29.96643257,53.13010406
96,103,753.9733276,109.8342972,13.72928715,366127,4051079,15.49184132,15.49184132,90
