OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
232,2856,753.9733276,109.8342972,13.72928715,406985.3438,3978341.25,15.49184132,15.49184132,90
233,2865,1507.946655,164.7514496,13.72928715,406944.1563,3978286.5,30.98368263,15.49184132,0
234,2869,753.9733276,109.8342972,13.72928715,406765.6875,3978259,15.49184132,15.49184132,90
235,2872,3015.893311,219.6685944,13.72928715,403868.8125,3978217.75,30.98368263,30.98368263,90
236,2876,753.9733276,109.8342972,13.72928715,406848.0625,3978176.5,15.49184132,15.49184132,90
237,2877,1507.946655,164.7514496,13.72928715,406944.1563,3978176.5,30.98368263,15.49184132,0
238,2882,2261.919922,219.6685944,13.72928715,406893.8125,3978140,35.31376266,20.38841057,135
239,2890,1507.946655,164.7514496,13.72928715,407026.5313,3978094.25,30.98368263,15.49184132,0
240,2896,753.9733276,109.8342972,13.72928715,406985.3438,3978066.75,15.49184132,15.49184132,90
241,2902,3769.866455,329.5028992,13.72928715,403657.375,3978044.75,64.95082092,18.47529793,79.09929657
242,2903,1507.946655,164.7514496,13.72928715,403827.625,3978080.5,30.98368263,15.49184132,90
243,2904,2261.919922,219.6685944,13.72928715,407040.2813,3978039.25,53.66531372,13.41632843,0
244,2909,753.9733276,109.8342972,13.72928715,403800.1563,3978039.25,15.49184132,15.49184132,90
245,2914,753.9733276,109.8342972,13.72928715,403772.6875,3978011.75,15.49184132,15.49184132,90
246,2915,753.9733276,109.8342972,13.72928715,403745.25,3977984.25,15.49184132,15.49184132,90
247,2920,3015.893311,219.6685944,13.72928715,403704.0625,3977943.25,30.98368263,30.98368263,90
248,2934,753.9733276,109.8342972,13.72928715,401987.9063,3977737.25,15.49184132,15.49184132,90
249,2943,753.9733276,109.8342972,13.72928715,403635.4063,3977600,15.49184132,15.49184132,90
250,2967,753.9733276,109.8342972,13.72928715,403992.375,3977215.5,15.49184132,15.49184132,90
251,2976,753.9733276,109.8342972,13.72928715,402591.9688,3977023.25,15.49184132,15.49184132,90
252,2995,17341.38672,988.508667,19.41321182,404775.5313,3976556.5,116.6383667,47.32520294,67.22052002
253,3008,753.9733276,109.8342972,13.72928715,403964.9063,3976529,15.49184132,15.49184132,90
254,3011,753.9733276,109.8342972,13.72928715,404816.125,3976474,15.49184132,15.49184132,90
255,3017,2261.919922,219.6685944,13.72928715,404651.375,3976419.25,53.66531372,13.41632843,0
256,3038,753.9733276,109.8342972,13.72928715,403196.0625,3976172,15.49184132,15.49184132,90
257,3047,753.9733276,109.8342972,13.72928715,403168.625,3976117.25,15.49184132,15.49184132,90
258,3081,753.9733276,109.8342972,13.72928715,403690.3125,3975925,15.49184132,15.49184132,90
259,3087,753.9733276,109.8342972,13.72928715,403470.6563,3975897.5,15.49184132,15.49184132,90
